Town,Price,Amount of Rooms,Surface Area,Floor/Floors,Type,Sale/Rent
Tallinn,"489 900 € 6 063 €/m²
Kuumakse 2 256 €",3,80.8 m²,2/3,Apartment,For Sale
,"239 000 € 3 683 €/m²
Kuumakse 1 101 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"182 900 € 3 018 €/m²
Kuumakse 842 €",3,60.6 m²,2/4,Apartment,For Sale
Tallinn,"129 700 € 3 202 €/m²
Kuumakse 597 €",2,40.5 m²,1/4,Apartment,For Sale
Tallinn,"129 900 € 3 322 €/m²
Kuumakse 598 €",2,39.1 m²,4/4,Apartment,For Sale
Paide,"42 000 € 729 €/m²
Kuumakse 193 €",3,57.6 m²,1/2,Apartment,For Sale
Tallinn,"249 990 € 2 803 €/m²
Kuumakse 1 151 €",3,89.2 m²,4/5,Apartment,For Sale
Tallinn,"175 000 € 3 452 €/m²
Kuumakse 806 €",3,50.7 m²,2/5,Apartment,For Sale
Tallinn,"468 000 € 4 652 €/m²
Kuumakse 2 155 €",4,100.6 m²,3/3,Apartment,For Sale
Tallinn,"199 000 € 2 481 €/m²
Kuumakse 917 €",3,80.2 m²,3/6,Apartment,For Sale
