Town,Price,Amount of Rooms,Surface Area,Floor/Floors,Type,Sale/Rent
Rakvere,270 € 7.11 €/m²,1,38 m²,N/A,Apartment,For Rent
Pärnu,800 € 12.2 €/m²,3,65.5 m²,1/3,Apartment,For Rent
Tallinn,650 € 13.5 €/m²,2,48.3 m²,2/6,Apartment,For Rent
Tallinn,150 € 12.5 €/m²,1,12 m²,3/4,Apartment,For Rent
Tallinn,580 € 12.5 €/m²,1,46.3 m²,3/4,Apartment,For Rent
Tallinn,1 300 € 14.1 €/m²,4,92 m²,4/5,Apartment,For Rent
Tallinn,800 € 14.7 €/m²,2,54.4 m²,3/4,Apartment,For Rent
,150 € 8.93 €/m²,N/A,N/A,N/A,Apartment,For Rent
,185 € 2.53 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,500 € 12.8 €/m²,2,39.2 m²,4/5,Apartment,For Rent
Tartu,440 € 25.6 €/m²,1,17.2 m²,N/A,Apartment,For Rent
Tartu,600 € 11.7 €/m²,3,51.2 m²,2/5,Apartment,For Rent
Tallinn,650 € 11 €/m²,2,59 m²,2/5,Apartment,For Rent
Tallinn,375 € 21.4 €/m²,1,17.5 m²,1/3,Apartment,For Rent
Tartu,220 € 6.29 €/m²,2,35 m²,2/2,Apartment,For Rent
Tallinn,400 € 14.8 €/m²,1,27 m²,2/2,Apartment,For Rent
Pärnu,625 € 17.3 €/m²,1,36.1 m²,3/8,Apartment,For Rent
Viljandi,340 € 8.72 €/m²,1,39 m²,2/2,Apartment,For Rent
Tallinn,465 € 9.45 €/m²,2,49.2 m²,3/9,Apartment,For Rent
Tallinn,300 € 10 €/m²,1,30 m²,3/5,Apartment,For Rent
,140 € 3.47 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,1 550 € 19.5 €/m²,3,79.5 m²,N/A,Apartment,For Rent
Narva,1 200 € 18.6 €/m²,3,64.7 m²,8/8,Apartment,For Rent
Tallinn,460 € 12.7 €/m²,2,36.2 m²,2/3,Apartment,For Rent
Narva,750 € 9.89 €/m²,3,75.8 m²,3/5,Apartment,For Rent
Tallinn,500 € 13 €/m²,2,38.5 m²,3/5,Apartment,For Rent
Tartu,350 € 7.42 €/m²,2,47.2 m²,4/5,Apartment,For Rent
Tallinn,627 € 12.9 €/m²,3,48.6 m²,2/4,Apartment,For Rent
Tallinn,500 € 15.6 €/m²,1,32 m²,N/A,Apartment,For Rent
Tallinn,450 € 10.4 €/m²,2,43.1 m²,4/9,Apartment,For Rent
Pärnu,325 € 6.38 €/m²,2,50.9 m²,4/4,Apartment,For Rent
Tallinn,600 € 11.3 €/m²,1,53 m²,1/4,Apartment,For Rent
Pärnu,900 € 15 €/m²,3,60.1 m²,4/5,Apartment,For Rent
Tallinn,300 € 12 €/m²,1,25 m²,2/3,Apartment,For Rent
,240 € 9.02 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,500 € 12.5 €/m²,1,40 m²,1/5,Apartment,For Rent
Tallinn,390 € 11.8 €/m²,1,33.1 m²,3/5,Apartment,For Rent
Rakvere,380 € 8.74 €/m²,2,43.5 m²,1/3,Apartment,For Rent
Tallinn,525 € 24.9 €/m²,1,21.1 m²,5/6,Apartment,For Rent
Paide,500 € 12.4 €/m²,2,40.5 m²,1/3,Apartment,For Rent
Tallinn,560 € 14 €/m²,2,40 m²,2/12,Apartment,For Rent
Tallinn,595 € 13.2 €/m²,2,45.1 m²,3/5,Apartment,For Rent
Tallinn,1 000 € 13.3 €/m²,3,75.4 m²,N/A,Apartment,For Rent
Narva,300 € 4.64 €/m²,3,64.7 m²,5/9,Apartment,For Rent
Tartu,350 € 7.40 €/m²,2,47.3 m²,1/5,Apartment,For Rent
,850 € 10.5 €/m²,N/A,N/A,N/A,Apartment,For Rent
Narva,365 € 13.5 €/m²,1,27 m²,2/4,Apartment,For Rent
Tallinn,700 € 10.1 €/m²,3,69.4 m²,4/4,Apartment,For Rent
Tartu,400 € 8.62 €/m²,2,46.4 m²,5/5,Apartment,For Rent
,450 € 10.4 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,750 € 16.3 €/m²,2,46 m²,5/5,Apartment,For Rent
,450 € 11 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,450 € 11 €/m²,1,41 m²,3/4,Apartment,For Rent
Tallinn,850 € 14.2 €/m²,3,60 m²,2/3,Apartment,For Rent
Tallinn,1 200 € 18.1 €/m²,3,66.3 m²,4/5,Apartment,For Rent
Tallinn,950 € 12.5 €/m²,3,76 m²,2/14,Apartment,For Rent
Tallinn,300 € 10.3 €/m²,1,29 m²,1/5,Apartment,For Rent
Viljandi,150 € 3.83 €/m²,2,39.2 m²,2/2,Apartment,For Rent
Tallinn,220 € 11 €/m²,1,20 m²,5/9,Apartment,For Rent
Tallinn,575 € 13.6 €/m²,2,42.4 m²,2/5,Apartment,For Rent
Pärnu,375 € 7.90 €/m²,2,47.5 m²,3/5,Apartment,For Rent
Tartu,600 € 11.8 €/m²,2,50.8 m²,2/3,Apartment,For Rent
,570 € 12.5 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,900 € 21.8 €/m²,2,41.2 m²,2/7,Apartment,For Rent
,570 € 12.5 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,690 € 10.9 €/m²,3,63.3 m²,7/8,Apartment,For Rent
Tallinn,1 200 € 10.1 €/m²,3,119 m²,3/3,Apartment,For Rent
Tallinn,690 € 15.4 €/m²,2,44.7 m²,3/5,Apartment,For Rent
Tallinn,495 € 11 €/m²,2,45 m²,3/5,Apartment,For Rent
Pärnu,890 € 14.8 €/m²,3,60 m²,6/6,Apartment,For Rent
Pärnu,400 € 6.05 €/m²,3,66.1 m²,2/2,Apartment,For Rent
Tallinn,380 € 12.2 €/m²,1,31.2 m²,2/2,Apartment,For Rent
,150 € 3.85 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,620 € 10.4 €/m²,1,59.5 m²,2/5,Apartment,For Rent
Tartu,380 € 25.3 €/m²,1,15 m²,2/2,Apartment,For Rent
Tartu,380 € 25.3 €/m²,1,15 m²,2/2,Apartment,For Rent
Tallinn,200 € 11.1 €/m²,N/A,18 m²,2/5,Apartment,For Rent
Tartu,600 € 7.84 €/m²,4,76.5 m²,3/5,Apartment,For Rent
Pärnu,350 € 9.51 €/m²,2,36.8 m²,1/2,Apartment,For Rent
Tallinn,440 € 11.9 €/m²,2,37 m²,4/4,Apartment,For Rent
Tallinn,750 € 16.6 €/m²,2,45.2 m²,1/3,Apartment,For Rent
Tallinn,850 € 14.2 €/m²,2,60 m²,4/5,Apartment,For Rent
Tallinn,690 € 15.3 €/m²,2,45.1 m²,1/14,Apartment,For Rent
Pärnu,300 € 10.7 €/m²,1,28 m²,2/3,Apartment,For Rent
Tallinn,1 200 € 14.5 €/m²,4,83 m²,1/2,Apartment,For Rent
Tallinn,600 € 10.9 €/m²,2,55 m²,1/4,Apartment,For Rent
Narva,80 € 2.66 €/m²,1,30.1 m²,4/5,Apartment,For Rent
Tartu,450 € 9.72 €/m²,2,46.3 m²,4/5,Apartment,For Rent
Tallinn,2 875 € 28.8 €/m²,4,99.8 m²,3/5,Apartment,For Rent
Tallinn,650 € 17.5 €/m²,2,37.1 m²,N/A,Apartment,For Rent
Tallinn,600 € 13.3 €/m²,2,45 m²,1/5,Apartment,For Rent
Tallinn,790 € 16.3 €/m²,2,48.4 m²,10/30,Apartment,For Rent
Tallinn,890 € 16.5 €/m²,2,54 m²,3/7,Apartment,For Rent
Narva,200 € 4.03 €/m²,2,49.6 m²,4/5,Apartment,For Rent
Tartu,320 € 12.8 €/m²,2,25 m²,1/3,Apartment,For Rent
Tallinn,600 € 9.06 €/m²,3,66.2 m²,2/5,Apartment,For Rent
Tallinn,550 € 10.7 €/m²,3,51.4 m²,4/5,Apartment,For Rent
Pärnu,950 € 16.2 €/m²,3,58.6 m²,3/5,Apartment,For Rent
Tallinn,530 € 18.7 €/m²,1,28.3 m²,3/5,Apartment,For Rent
Tallinn,420 € 14 €/m²,1,30 m²,4/5,Apartment,For Rent
Tallinn,850 € 13.2 €/m²,3,64.3 m²,4/5,Apartment,For Rent
,400 € 9.13 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,1 700 € 13.7 €/m²,4,124.4 m²,5/5,Apartment,For Rent
Tallinn,490 € 9.44 €/m²,3,51.9 m²,6/9,Apartment,For Rent
Tallinn,200 € 6.25 €/m²,1,32 m²,3/5,Apartment,For Rent
Tallinn,750 € 14.6 €/m²,3,51.4 m²,3/10,Apartment,For Rent
Rakvere,300 € 6.17 €/m²,2,48.6 m²,3/3,Apartment,For Rent
Tallinn,900 € 13.2 €/m²,3,68.1 m²,5/5,Apartment,For Rent
Tallinn,1 000 € 14.9 €/m²,3,67 m²,5/7,Apartment,For Rent
,220 € 4.69 €/m²,N/A,N/A,N/A,Apartment,For Rent
Narva,150 € 3.84 €/m²,2,39.1 m²,5/5,Apartment,For Rent
Tallinn,500 € 12.5 €/m²,1,40 m²,1/4,Apartment,For Rent
Tallinn,480 € 8.42 €/m²,3,57 m²,5/5,Apartment,For Rent
Tallinn,720 € 14.9 €/m²,2,48.4 m²,5/5,Apartment,For Rent
,330 € 5.40 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,550 € 16.7 €/m²,2,33 m²,4/9,Apartment,For Rent
,360 € 5.39 €/m²,N/A,N/A,N/A,Apartment,For Rent
,200 € 5.21 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,2 500 € 13.3 €/m²,4,188.5 m²,1/3,Apartment,For Rent
Haapsalu,300 € 8.09 €/m²,N/A,37.1 m²,2/2,Apartment,For Rent
,700 € 12 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,400 € 8.46 €/m²,2,47.3 m²,3/3,Apartment,For Rent
,300 € 4.35 €/m²,N/A,N/A,N/A,Apartment,For Rent
Pärnu,600 € 13.3 €/m²,1,45 m²,3/3,Apartment,For Rent
Tallinn,500 € 11.4 €/m²,2,43.9 m²,2/5,Apartment,For Rent
Tallinn,450 € 14.4 €/m²,2,31.2 m²,2/2,Apartment,For Rent
Tallinn,1 000 € 13.3 €/m²,3,75.4 m²,4/7,Apartment,For Rent
,199 € 4.83 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,470 € 13.8 €/m²,1,34 m²,3/5,Apartment,For Rent
Tallinn,610 € 10.9 €/m²,2,55.9 m²,7/8,Apartment,For Rent
Tartu,340 € 8.90 €/m²,2,38.2 m²,1/3,Apartment,For Rent
Tartu,600 € 9.45 €/m²,2,63.5 m²,2/4,Apartment,For Rent
Paide,150 € 4.69 €/m²,1,32 m²,2/3,Apartment,For Rent
Paide,500 € 12 €/m²,2,41.6 m²,1/3,Apartment,For Rent
Tallinn,375 € 8.78 €/m²,2,42.7 m²,1/3,Apartment,For Rent
Tallinn,1 200 € 13.7 €/m²,4,87.8 m²,3/3,Apartment,For Rent
Tallinn,450 € 16 €/m²,1,28.2 m²,1/4,Apartment,For Rent
Tallinn,350 € 21.2 €/m²,1,16.5 m²,3/4,Apartment,For Rent
,120 € 3.45 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,475 € 12.8 €/m²,1,37.1 m²,3/4,Apartment,For Rent
Tartu,450 € 9.83 €/m²,2,45.8 m²,7/9,Apartment,For Rent
Tartu,360 € 9.84 €/m²,2,36.6 m²,3/4,Apartment,For Rent
Tallinn,849 € 10.5 €/m²,4,81 m²,5/6,Apartment,For Rent
Tartu,480 € 7.68 €/m²,3,62.5 m²,5/5,Apartment,For Rent
Tallinn,550 € 9.12 €/m²,2,60.3 m²,5/7,Apartment,For Rent
,285 € 7.12 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tartu,1 300 € 20.6 €/m²,3,63.1 m²,3/3,Apartment,For Rent
Tallinn,700 € 10.5 €/m²,2,66.7 m²,3/4,Apartment,For Rent
Tallinn,660 € 20.4 €/m²,1,32.4 m²,3/5,Apartment,For Rent
Tallinn,750 € 13.1 €/m²,2,57.3 m²,4/5,Apartment,For Rent
Pärnu,797 € 18.5 €/m²,2,43.1 m²,8/12,Apartment,For Rent
,230 € 7.42 €/m²,N/A,N/A,N/A,Apartment,For Rent
Pärnu,250 € 5.24 €/m²,3,47.7 m²,4/4,Apartment,For Rent
Tartu,500 € 7.34 €/m²,3,68.1 m²,1/5,Apartment,For Rent
Viljandi,320 € 6.54 €/m²,3,48.9 m²,3/3,Apartment,For Rent
Tallinn,775 € 14.7 €/m²,2,52.9 m²,1/4,Apartment,For Rent
Viljandi,350 € 8.75 €/m²,2,40 m²,2/3,Apartment,For Rent
Tallinn,900 € 16 €/m²,2,56.1 m²,2/6,Apartment,For Rent
Viljandi,240 € 5.80 €/m²,2,41.4 m²,2/2,Apartment,For Rent
Narva,170 € 3.52 €/m²,2,48.3 m²,1/5,Apartment,For Rent
,200 € 4.35 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,425 € 14.2 €/m²,2,29.9 m²,1/3,Apartment,For Rent
Tallinn,19 € 1.36 €/m²,1,14 m²,5/6,Apartment,For Rent
Pärnu,500 € 7.69 €/m²,3,65 m²,1/2,Apartment,For Rent
Tallinn,800 € 17.6 €/m²,2,45.5 m²,1/6,Apartment,For Rent
Tallinn,1 350 € 15.6 €/m²,4,86.5 m²,2/3,Apartment,For Rent
Tallinn,700 € 11.7 €/m²,3,60 m²,3/3,Apartment,For Rent
Tallinn,1 750 € 18.7 €/m²,4,93.5 m²,1/5,Apartment,For Rent
Viljandi,300 € 5.04 €/m²,3,59.5 m²,3/5,Apartment,For Rent
Tallinn,470 € 12.3 €/m²,2,38.1 m²,4/4,Apartment,For Rent
Haapsalu,310 € 9.01 €/m²,2,34.4 m²,2/2,Apartment,For Rent
Põlva,300 € 4.44 €/m²,3,67.5 m²,3/5,Apartment,For Rent
Tallinn,450 € 18 €/m²,1,25 m²,1/5,Apartment,For Rent
Tallinn,600 € 9.23 €/m²,3,65 m²,5/9,Apartment,For Rent
Tartu,650 € 13.2 €/m²,2,49.2 m²,3/4,Apartment,For Rent
Rakvere,250 € 7.42 €/m²,1,33.7 m²,4/5,Apartment,For Rent
,210 € 5.44 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,400 € 24.4 €/m²,1,16.4 m²,2/5,Apartment,For Rent
,375 € 11.2 €/m²,N/A,N/A,N/A,Apartment,For Rent
Pärnu,350 € 14.6 €/m²,1,24 m²,2/2,Apartment,For Rent
,50 € 1.57 €/m²,N/A,N/A,N/A,Apartment,For Rent
Pärnu,260 € 14.4 €/m²,1,18 m²,2/2,Apartment,For Rent
Tallinn,550 € 9.87 €/m²,3,55.7 m²,3/5,Apartment,For Rent
Tallinn,300 € 23.1 €/m²,1,13 m²,1/4,Apartment,For Rent
Tallinn,590 € 11.6 €/m²,3,51 m²,2/2,Apartment,For Rent
Tallinn,675 € 14.5 €/m²,2,46.7 m²,6/13,Apartment,For Rent
Narva,300 € 7.90 €/m²,2,38 m²,1/4,Apartment,For Rent
Tartu,400 € 11.8 €/m²,1,34 m²,2/5,Apartment,For Rent
Tallinn,550 € 8.73 €/m²,2,63 m²,2/2,Apartment,For Rent
Tartu,485 € 8.57 €/m²,3,56.6 m²,1/5,Apartment,For Rent
Võru,360 € 12 €/m²,1,30 m²,1/2,Apartment,For Rent
Tallinn,500 € 16 €/m²,2,31.3 m²,2/2,Apartment,For Rent
Tallinn,2 750 € 23.8 €/m²,4,115.7 m²,3/3,Apartment,For Rent
Pärnu,390 € 8.30 €/m²,2,47 m²,2/4,Apartment,For Rent
Tartu,390 € 10.4 €/m²,2,37.5 m²,3/5,Apartment,For Rent
Tallinn,800 € 9.80 €/m²,3,81.6 m²,1/4,Apartment,For Rent
Pärnu,590 € 8.30 €/m²,4,71.1 m²,4/5,Apartment,For Rent
Tallinn,400 € 12.5 €/m²,1,32 m²,3/4,Apartment,For Rent
Narva,160 € 4.20 €/m²,2,38.1 m²,1/4,Apartment,For Rent
Tallinn,350 € 10.6 €/m²,1,33 m²,5/9,Apartment,For Rent
Paide,230 € 7.32 €/m²,1,31.4 m²,1/5,Apartment,For Rent
Tallinn,1 350 € 20.1 €/m²,3,67.2 m²,3/5,Apartment,For Rent
Tallinn,890 € 11.6 €/m²,3,76.8 m²,2/4,Apartment,For Rent
Narva,450 € 7.90 €/m²,2,57 m²,4/6,Apartment,For Rent
Tallinn,750 € 18.3 €/m²,2,41.1 m²,1/3,Apartment,For Rent
Pärnu,600 € 8.33 €/m²,3,72 m²,3/3,Apartment,For Rent
Tallinn,1 800 € 16.8 €/m²,4,107.4 m²,6/13,Apartment,For Rent
Tallinn,1 300 € 12.6 €/m²,4,103.5 m²,1/2,Apartment,For Rent
Tallinn,450 € 8.56 €/m²,2,52.6 m²,3/5,Apartment,For Rent
,200 € 5.71 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,500 € 13.2 €/m²,1,38 m²,3/10,Apartment,For Rent
,200 € 5.31 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,1 990 € 26.9 €/m²,3,73.9 m²,5/10,Apartment,For Rent
Viljandi,390 € 7.43 €/m²,2,52.5 m²,1/2,Apartment,For Rent
Tallinn,420 € 12.9 €/m²,1,32.6 m²,5/5,Apartment,For Rent
,150 € 3.09 €/m²,N/A,N/A,N/A,Apartment,For Rent
Pärnu,390 € 7.50 €/m²,2,52 m²,1/3,Apartment,For Rent
Tallinn,550 € 9.09 €/m²,3,60.5 m²,5/5,Apartment,For Rent
Tallinn,300 € 20 €/m²,1,15 m²,2/4,Apartment,For Rent
Tallinn,650 € 13.5 €/m²,2,48.1 m²,8/8,Apartment,For Rent
Pärnu,500 € 7.61 €/m²,3,65.7 m²,4/5,Apartment,For Rent
Tallinn,345 € 18.6 €/m²,1,18.6 m²,2/2,Apartment,For Rent
Tallinn,630 € 30 €/m²,1,21 m²,5/6,Apartment,For Rent
Tallinn,1 575 € 22.1 €/m²,3,71.3 m²,5/14,Apartment,For Rent
Tallinn,390 € 11.9 €/m²,1,32.9 m²,5/5,Apartment,For Rent
Tallinn,960 € 18.9 €/m²,3,50.8 m²,3/6,Apartment,For Rent
Tallinn,200 € 5.71 €/m²,29,35 m²,2/5,Apartment,For Rent
Tallinn,300 € 13 €/m²,1,23 m²,1/4,Apartment,For Rent
Tallinn,285 € 17.5 €/m²,1,16.3 m²,7/9,Apartment,For Rent
,380 € 7.65 €/m²,N/A,N/A,N/A,Apartment,For Rent
Narva,499 € 4.99 €/m²,5,100 m²,4/4,Apartment,For Rent
Tallinn,750 € 15 €/m²,2,50 m²,N/A,Apartment,For Rent
,375 € 9.62 €/m²,N/A,N/A,N/A,Apartment,For Rent
Pärnu,575 € 15.2 €/m²,2,37.9 m²,1/5,Apartment,For Rent
Tallinn,550 € 22.9 €/m²,1,24 m²,3/4,Apartment,For Rent
Tallinn,990 € 9.90 €/m²,3,100 m²,3/3,Apartment,For Rent
Pärnu,1 100 € 15.3 €/m²,3,71.8 m²,5/6,Apartment,For Rent
Tallinn,2 000 € 16.6 €/m²,4,120.7 m²,2/3,Apartment,For Rent
Tallinn,725 € 14.3 €/m²,2,50.8 m²,2/8,Apartment,For Rent
Tallinn,280 € 25.5 €/m²,1,11 m²,4/5,Apartment,For Rent
Tallinn,430 € 17.6 €/m²,1,24.5 m²,2/2,Apartment,For Rent
Pärnu,375 € 8.12 €/m²,2,46.2 m²,1/5,Apartment,For Rent
Tartu,450 € 6.88 €/m²,3,65.4 m²,3/9,Apartment,For Rent
Tallinn,345 € 15.7 €/m²,1,22 m²,2/1,Apartment,For Rent
Tallinn,590 € 14.3 €/m²,2,41.2 m²,4/4,Apartment,For Rent
Tartu,320 € 8.89 €/m²,1,36 m²,1/2,Apartment,For Rent
Tallinn,575 € 10.8 €/m²,2,53.5 m²,4/5,Apartment,For Rent
Tallinn,1 000 € 13.6 €/m²,3,73.4 m²,2/6,Apartment,For Rent
Pärnu,690 € 13.1 €/m²,2,52.7 m²,7/8,Apartment,For Rent
Tallinn,650 € 14.9 €/m²,2,43.5 m²,3/5,Apartment,For Rent
Tallinn,350 € 12.5 €/m²,1,28 m²,5/5,Apartment,For Rent
Tallinn,330 € 20.1 €/m²,1,16.4 m²,2/5,Apartment,For Rent
Tallinn,300 € 25 €/m²,1,12 m²,1/5,Apartment,For Rent
Tallinn,590 € 17.2 €/m²,1,34.4 m²,8/9,Apartment,For Rent
Viljandi,250 € 10 €/m²,1,25 m²,2/2,Apartment,For Rent
Tallinn,790 € 11.4 €/m²,2,69.1 m²,4/7,Apartment,For Rent
Tallinn,850 € 15.5 €/m²,2,55 m²,2/6,Apartment,For Rent
Narva,250 € 4.99 €/m²,2,50.1 m²,8/9,Apartment,For Rent
Võru,220 € 7.51 €/m²,1,29.3 m²,5/5,Apartment,For Rent
,263 € 5 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tartu,350 € 8.97 €/m²,2,39 m²,N/A,Apartment,For Rent
,350 € 5.24 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,1 350 € 15.6 €/m²,4,86.5 m²,2/3,Apartment,For Rent
Tallinn,930 € 18.1 €/m²,2,51.3 m²,2/6,Apartment,For Rent
Tartu,330 € 12.1 €/m²,1,27.2 m²,2/5,Apartment,For Rent
Tallinn,1 000 € 20 €/m²,1,50 m²,N/A,Apartment,For Rent
Tallinn,260 € 16.3 €/m²,N/A,16 m²,4/5,Apartment,For Rent
Tallinn,350 € 16.3 €/m²,1,21.5 m²,2/2,Apartment,For Rent
Tartu,575 € 8.74 €/m²,3,65.8 m²,3/5,Apartment,For Rent
Tallinn,250 € 7.49 €/m²,2,33.4 m²,2/3,Apartment,For Rent
Tallinn,600 € 9.54 €/m²,2,62.9 m²,3/5,Apartment,For Rent
Tallinn,690 € 10.8 €/m²,3,64 m²,9/10,Apartment,For Rent
Tallinn,620 € 10.6 €/m²,2,58.5 m²,1/9,Apartment,For Rent
Tallinn,420 € 12 €/m²,1,35 m²,2/5,Apartment,For Rent
Pärnu,380 € 10.1 €/m²,2,37.6 m²,1/4,Apartment,For Rent
Tallinn,579 € 13.4 €/m²,2,43.2 m²,5/9,Apartment,For Rent
Tallinn,580 € 13.4 €/m²,2,43.2 m²,3/3,Apartment,For Rent
Pärnu,1 100 € 11.3 €/m²,3,97 m²,6/7,Apartment,For Rent
Tallinn,700 € 13.5 €/m²,2,52 m²,3/5,Apartment,For Rent
Tallinn,410 € 7.32 €/m²,2,56 m²,1/5,Apartment,For Rent
Tallinn,430 € 26.5 €/m²,1,16.2 m²,4/5,Apartment,For Rent
Pärnu,240 € 9.60 €/m²,1,25 m²,1/1,Apartment,For Rent
Tallinn,1 097 € 19.7 €/m²,3,55.7 m²,4/6,Apartment,For Rent
Tallinn,890 € 10.7 €/m²,3,83 m²,2/5,Apartment,For Rent
Tallinn,525 € 12.2 €/m²,2,43.2 m²,1/1,Apartment,For Rent
Pärnu,400 € 10.4 €/m²,2,38.4 m²,1/4,Apartment,For Rent
Tartu,300 € 6.99 €/m²,2,42.9 m²,3/3,Apartment,For Rent
Narva,500 € 16.6 €/m²,N/A,30.1 m²,2/2,Apartment,For Rent
Tallinn,290 € 15 €/m²,1,19.4 m²,2/2,Apartment,For Rent
Tapa,120 € 4.05 €/m²,1,29.6 m²,1/2,Apartment,For Rent
Tartu,400 € 11.6 €/m²,2,34.6 m²,4/5,Apartment,For Rent
Pärnu,400 € 6.93 €/m²,2,57.7 m²,2/2,Apartment,For Rent
Tallinn,550 € 14.8 €/m²,2,37.3 m²,2/3,Apartment,For Rent
Pärnu,650 € 10.6 €/m²,3,61.2 m²,5/5,Apartment,For Rent
Tallinn,800 € 10 €/m²,3,80 m²,2/3,Apartment,For Rent
Pärnu,460 € 9.04 €/m²,2,50.9 m²,7/8,Apartment,For Rent
Tallinn,590 € 14.4 €/m²,2,41 m²,2/3,Apartment,For Rent
Tallinn,630 € 26.3 €/m²,1,24 m²,4/4,Apartment,For Rent
Tallinn,530 € 12.9 €/m²,2,41.1 m²,2/4,Apartment,For Rent
Tallinn,400 € 12.9 €/m²,1,30.9 m²,4/5,Apartment,For Rent
Tartu,400 € 8.08 €/m²,2,49.5 m²,2/5,Apartment,For Rent
Tallinn,230 € 14.4 €/m²,1,16 m²,2/2,Apartment,For Rent
,475 € 11.5 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,33 € 1.32 €/m²,1,25 m²,4/4,Apartment,For Rent
,600 € 11 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,1 700 € 23 €/m²,3,74 m²,5/10,Apartment,For Rent
Tallinn,400 € 21.1 €/m²,1,19 m²,4/5,Apartment,For Rent
Narva,600 € 11.6 €/m²,1,51.8 m²,4/4,Apartment,For Rent
Tallinn,450 € 14.8 €/m²,1,30.4 m²,4/5,Apartment,For Rent
Tartu,390 € 17.6 €/m²,1,22.2 m²,1/2,Apartment,For Rent
Tallinn,820 € 13.4 €/m²,3,61.3 m²,3/8,Apartment,For Rent
Tallinn,420 € 11.4 €/m²,2,36.7 m²,4/5,Apartment,For Rent
Tartu,400 € 14.9 €/m²,1,26.9 m²,1/4,Apartment,For Rent
Tallinn,400 € 13.4 €/m²,1,29.9 m²,5/5,Apartment,For Rent
Tallinn,1 100 € 13.5 €/m²,3,81.6 m²,2/4,Apartment,For Rent
Paide,290 € 7.42 €/m²,2,39.1 m²,4/5,Apartment,For Rent
Tallinn,1 100 € 19.3 €/m²,2,56.9 m²,2/4,Apartment,For Rent
Tallinn,930 € 18.8 €/m²,2,49.6 m²,3/6,Apartment,For Rent
Narva,2 000 € 16 €/m²,4,124.9 m²,3/3,Apartment,For Rent
Narva,2 000 € 16 €/m²,4,124.9 m²,3/3,Apartment,For Rent
Tallinn,1 350 € 15.3 €/m²,4,88.1 m²,5/8,Apartment,For Rent
Tallinn,1 050 € 19.2 €/m²,3,54.7 m²,4/5,Apartment,For Rent
Tallinn,1 350 € 14.7 €/m²,1,91.7 m²,1/6,Apartment,For Rent
Narva,280 € 5.71 €/m²,2,49 m²,3/9,Apartment,For Rent
Tartu,420 € 8.54 €/m²,2,49.2 m²,3/5,Apartment,For Rent
Tallinn,840 € 13 €/m²,3,64.6 m²,4/4,Apartment,For Rent
Tartu,950 € 10.8 €/m²,3,87.8 m²,2/2,Apartment,For Rent
Tallinn,490 € 12.4 €/m²,2,39.5 m²,3/3,Apartment,For Rent
Tartu,550 € 10.2 €/m²,2,53.9 m²,4/4,Apartment,For Rent
Tallinn,1 000 € 17.8 €/m²,3,56.3 m²,6/6,Apartment,For Rent
Tartu,280 € 5.96 €/m²,2,47 m²,3/5,Apartment,For Rent
Tallinn,275 € 20.7 €/m²,1,13.3 m²,1/2,Apartment,For Rent
Pärnu,450 € 9.89 €/m²,2,45.5 m²,7/8,Apartment,For Rent
Tallinn,550 € 12.9 €/m²,2,42.6 m²,2/5,Apartment,For Rent
Tallinn,245 € 27.2 €/m²,1,9 m²,1/6,Apartment,For Rent
Tallinn,600 € 9.24 €/m²,3,64.9 m²,4/9,Apartment,For Rent
Tartu,480 € 19.2 €/m²,1,25 m²,1/2,Apartment,For Rent
,500 € 11.9 €/m²,N/A,N/A,N/A,Apartment,For Rent
Tallinn,1 150 € 14.9 €/m²,3,77.1 m²,2/4,Apartment,For Rent
Tallinn,400 € 11.2 €/m²,1,35.6 m²,4/5,Apartment,For Rent
Pärnu,240 € 6.17 €/m²,2,38.9 m²,1/2,Apartment,For Rent
Tallinn,280 € 17.2 €/m²,1,16.3 m²,2/2,Apartment,For Rent
Tallinn,280 € 17.2 €/m²,1,16.3 m²,2/2,Apartment,For Rent
